strawberry,0
tuna,1
sweet pea,2
slimejack,3
daffodil,4
earth crystal,5
ruby,6
crimsonfish,7
gold ore,8
frozen tear,9
hops,10
sunfish,11
glacierfish jr.,12
walleye,13
midnight carp,14
bream,15
anchovy,16
squid,17
spice berry,18
sap,19
corn,20
kale,21
potato,22
smallmouth bass,23
banana,24
perch,25
wild horseradish,26
salmonberry,27
radioactive carp,28
herring,29
carp,30
cave jelly,31
cauliflower,32
jade,33
coconut,34
void mayonnaise,35
stingray,36
iridium bar,37
bok choy,38
iron ore,39
red snapper,40
parsnip,41
crayfish,42
periwinkle,43
rhubarb,44
artichoke,45
mayonnaise,46
clam,47
copper bar,48
midnight squid,49
river jelly,51
shrimp,52
eel,50
pufferfish,53
emerald,54
hot pepper,55
melon,56
mussel,57
sea jelly,58
diamond,59
unmilled rice,60
sea cucumber,61
woodskip,62
chanterelle,63
red mullet,64
albacore,65
chub,66
sandfish,67
spook fish,68
spring onion,69
mutant carp,70
angler,71
pumpkin,72
seaweed,73
pine cone,74
catfish,75
cactus fruit,76
large egg,77
iron bar,78
tilapia,79
pike,80
fire quartz,81
blue discus,82
copper ore,83
yam,84
maple seed,85
refined quartz,86
flounder,87
green algae,88
tiger trout,89
coal,90
egg,91
large milk,92
holly,93
octopus,94
scorpion carp,95
ms. angler,96
largemouth bass,97
cockle,98
lingcod,99
blobfish,100
goby,101
ghostfish,102
starfruit,103
dandelion,104
eggplant,105
iridium ore,106
duck mayonnaise,107
sardine,108
void salmon,109
amaranth,110
snail,111
super cucumber,112
sturgeon,113
legend II,114
aquamarine,115
salmon,116
lava eel,117
halibut,118
bullhead,119
grape,120
lobster,121
fiddlehead fern,122
prismatic shard,123
carrot,124
oyster,125
honey,126
ice pip,127
shad,128
quartz,129
crab,130
garlic,131
leek,132
green bean,133
cranberries,134
gold bar,135
wheat,136
son of crimsonfish,137
acorn,138
cave carrot,139
milk,140
ostrich egg,141
legend,142
void egg,143
tomato,144
red cabbage,145
glacierfish,146
stonefish,147
topaz,148
lionfish,149
rainbow trout,150
dorado,151
amethyst,152
radish,153
blueberry,154
